Question Number,Answer
1,B
2,A
3,C
4,A
5,B
6,D
7,B
8,C
9,C
10,D
11,B
12,D
13,D
14,C
15,C
16,C
17,C
18,D
19,A
20,C
21,C
22,B
23,C
24,D
25,A
26,D
27,C
28,C
29,D
30,B
31,C
32,B
33,C
34,A
35,D
36,A
37,A
38,A
39,A
40,A
41,A
42,A
43,B
44,B
45,C
46,A
47,A
48,D
49,B
50,B
51,D
52,B
53,B
54,D
55,B
56,A
57,B
58,C
59,C
60,B
61,B
62,D
63,A
64,D
65,D
66,B
67,C
68,B
69,D
70,D
71,C
72,B
73,B
74,A
75,B
76,A
77,D
78,C
79,A
80,B
81,B
82,C
83,D
84,B
85,D
86,B
87,D
88,B
89,D
90,C
91,D
92,D
93,D
94,C
95,B
96,C
97,D
98,D
99,A
100,B
101,D
102,C
103,B
104,A
105,A
106,B
107,A
108,C
109,D
110,D
111,B
112,D
113,C
114,C
115,C
116,D
117,D
118,B
119,C
120,C
121,C
122,B
123,B
124,A
125,C
126,B
127,B
128,A
129,A
130,D
131,C
132,C
133,B
134,D
135,C
136,C
137,A
138,B
139,C
140,A
141,A
142,D
143,C
144,A
145,C
146,B
147,B
148,A
149,A
150,B
151,C
152,D
153,B
154,D
155,A
156,D
157,C
158,B
159,A
160,B
161,B
162,C
163,D
164,B
165,C
166,C
167,D
168,B
169,B
170,D
171,D
172,C
173,C
174,C
175,B
176,B
177,D
178,C
179,B
180,A
